species	run	temp	PEL	veloc	acel	sex	SVL	TL	TB
T_oreadicus	2	26	1404	1.06E+00	1.17E+01	I	40	49	42
T_oreadicus	2	26	1404	4.79E-01	1.35E+01	I	40	49	42
T_oreadicus	2	26	1404	9.47E-02	7.09E+00	I	40	49	42
T_oreadicus	2	26	1404	7.49E-02	1.92E+00	I	40	49	42
T_oreadicus	2	26	1404	0.00E+00	1.28E+00	I	40	49	42
T_oreadicus	2	26	1404	2.37E-02	2.03E-01	I	40	49	42
T_oreadicus	2	26	1404	0.00E+00	4.06E-01	I	40	49	42
T_oreadicus	2	26	1404	0.00E+00	0.00E+00	I	40	49	42
T_oreadicus	2	26	1404	0.00E+00	0.00E+00	I	40	49	42
T_oreadicus	2	26	1404	0.00E+00	0.00E+00	I	40	49	42
T_oreadicus	2	26	1404	0.00E+00	0.00E+00	I	40	49	42
T_oreadicus	2	26	1404	0.00E+00	0.00E+00	I	40	49	42
T_oreadicus	2	26	1404	0.00E+00	0.00E+00	I	40	49	42
T_oreadicus	2	26	1404	0.00E+00	8.12E-01	I	40	49	42
T_oreadicus	2	26	1404	4.73E-02	4.06E-01	I	40	49	42
T_oreadicus	2	26	1404	4.73E-02	1.02E+01	I	40	49	42
T_oreadicus	2	26	1404	6.11E-01	1.27E+01	I	40	49	42
T_oreadicus	2	26	1404	1.05E+00	1.21E+01	I	40	49	42
T_oreadicus	2	26	1404	1.17E+00	9.40E+00	I	40	49	42
T_oreadicus	2	26	1404	1.43E+00	4.34E+00	I	40	49	42
T_oreadicus	2	26	1404	1.53E+00	4.06E+00	I	40	49	42
T_oreadicus	2	26	1404	1.49E+00	4.11E+00	I	40	49	42
T_oreadicus	2	26	1404	1.35E+00	2.65E+00	I	40	49	42
T_oreadicus	2	26	1404	1.40E+00	3.77E+00	I	40	49	42
T_oreadicus	2	26	1404	1.62E+00	2.82E+00	I	40	49	42
T_oreadicus	2	26	1404	1.52E+00	1.64E+00	I	40	49	42
T_oreadicus	2	26	1404	1.50E+00	7.32E-01	I	40	49	42
T_oreadicus	2	26	1404	1.51E+00	1.30E+00	I	40	49	42
T_oreadicus	2	26	1404	1.44E+00	5.31E+00	I	40	49	42
T_oreadicus	2	26	1404	1.25E+00	1.84E+00	I	40	49	42
T_oreadicus	2	26	1404	1.26E+00	6.42E-01	I	40	49	42
T_oreadicus	1	17.2	1404	NA	NA	I	40	49	42
T_oreadicus	1	17.2	1404	1.02E+00	NA	I	40	49	42
T_oreadicus	1	17.2	1404	1.16E+00	1.52E+00	I	40	49	42
T_oreadicus	1	17.2	1404	1.07E+00	4.87E+00	I	40	49	42
T_oreadicus	1	17.2	1404	9.01E-01	4.95E+00	I	40	49	42
T_oreadicus	1	17.2	1404	7.50E-01	6.14E+00	I	40	49	42
T_oreadicus	1	17.2	1404	5.68E-01	8.00E+00	I	40	49	42
T_oreadicus	1	17.2	1404	1.95E-01	8.10E+00	I	40	49	42
T_oreadicus	1	17.2	1404	0.00E+00	3.34E+00	I	40	49	42
T_oreadicus	1	17.2	1404	0.00E+00	0.00E+00	I	40	49	42
T_oreadicus	1	17.2	1404	0.00E+00	0.00E+00	I	40	49	42
T_oreadicus	1	17.2	1404	0.00E+00	0.00E+00	I	40	49	42
T_oreadicus	1	17.2	1404	0.00E+00	0.00E+00	I	40	49	42
T_oreadicus	1	17.2	1404	0.00E+00	8.35E-01	I	40	49	42
T_oreadicus	1	17.2	1404	4.87E-02	4.17E-01	I	40	49	42
T_oreadicus	1	17.2	1404	4.87E-02	4.17E-01	I	40	49	42
T_oreadicus	1	17.2	1404	0.00E+00	8.35E-01	I	40	49	42
T_oreadicus	1	17.2	1404	0.00E+00	0.00E+00	I	40	49	42
T_oreadicus	1	17.2	1404	0.00E+00	0.00E+00	I	40	49	42
T_oreadicus	1	17.2	1404	0.00E+00	0.00E+00	I	40	49	42
T_oreadicus	1	17.2	1404	0.00E+00	0.00E+00	I	40	49	42
T_oreadicus	1	17.2	1404	0.00E+00	0.00E+00	I	40	49	42
T_oreadicus	1	17.2	1404	0.00E+00	4.17E-01	I	40	49	42
T_oreadicus	1	17.2	1404	2.43E-02	6.26E-01	I	40	49	42
T_oreadicus	1	17.2	1404	2.43E-02	3.10E+00	I	40	49	42
T_oreadicus	1	17.2	1404	1.90E-01	9.30E+00	I	40	49	42
T_oreadicus	1	17.2	1404	6.20E-01	1.42E+01	I	40	49	42
T_oreadicus	1	17.2	1404	1.12E+00	1.05E+01	I	40	49	42
T_oreadicus	1	17.2	1404	1.25E+00	1.04E+00	I	40	49	42
T_oreadicus	1	17.2	1404	1.01E+00	4.03E+00	I	40	49	42
T_oreadicus	1	17.2	1404	1.02E+00	5.32E+00	I	40	49	42
T_oreadicus	1	17.2	1404	1.05E+00	2.30E+00	I	40	49	42
T_oreadicus	1	17.2	1404	8.56E-01	6.55E+00	I	40	49	42
T_oreadicus	1	17.2	1404	8.82E-01	1.78E+00	I	40	49	42
T_oreadicus	1	17.2	1404	1.00E+00	2.50E+00	I	40	49	42
T_oreadicus	1	17.2	1404	8.50E-01	6.38E+00	I	40	49	42
T_oreadicus	1	17.2	1404	6.09E-01	6.67E+00	I	40	49	42
T_oreadicus	1	17.2	1404	5.52E-01	1.22E+00	I	40	49	42
