especie	corrida	temp	PEL	veloc	acel	sexo	CRC	CC	BC
A_ameiva	1	27	01497	1.10E-01	9.46E-01	I	53	112	112
A_ameiva	1	27	01497	0.00E+00	1.89E+00	I	53	112	112
A_ameiva	1	27	01497	0.00E+00	2.90E+00	I	53	112	112
A_ameiva	1	27	01497	1.69E-01	8.71E+00	I	53	112	112
A_ameiva	1	27	01497	5.92E-01	1.02E+01	I	53	112	112
A_ameiva	1	27	01497	8.89E-01	1.05E+01	I	53	112	112
A_ameiva	1	27	01497	1.12E+00	9.55E+00	I	53	112	112
A_ameiva	1	27	01497	1.33E+00	5.30E+00	I	53	112	112
A_ameiva	1	27	01497	1.37E+00	7.72E+00	I	53	112	112
A_ameiva	1	27	01497	1.61E+00	4.52E+00	I	53	112	112
A_ameiva	1	27	01497	1.63E+00	1.79E+00	I	53	112	112
A_ameiva	1	27	01497	1.66E+00	5.16E+00	I	53	112	112
A_ameiva	1	27	01497	1.83E+00	2.91E+00	I	53	112	112
A_ameiva	1	27	01497	1.94E+00	2.56E+00	I	53	112	112
A_ameiva	1	27	01497	1.79E+00	5.44E+00	I	53	112	112
A_ameiva	1	27	01497	1.76E+00	1.04E+01	I	53	112	112
A_ameiva	1	27	01497	2.13E+00	5.91E+00	I	53	112	112
A_ameiva	2	27	01497	NA	NA	I	53	112	112
A_ameiva	2	27	01497	1.87E+00	NA	I	53	112	112
A_ameiva	2	27	01497	2.15E+00	4.71E+00	I	53	112	112
A_ameiva	2	27	01497	2.15E+00	2.67E+00	I	53	112	112
A_ameiva	2	27	01497	1.93E+00	6.94E+00	I	53	112	112
A_ameiva	2	27	01497	1.83E+00	5.97E+00	I	53	112	112
A_ameiva	2	27	01497	2.20E+00	1.03E+01	I	53	112	112
A_ameiva	2	27	01497	2.56E+00	6.49E+00	I	53	112	112
A_ameiva	2	27	01497	2.28E+00	5.28E+00	I	53	112	112
A_ameiva	2	27	01497	2.18E+00	4.54E+00	I	53	112	112
A_ameiva	2	27	01497	2.26E+00	5.18E+00	I	53	112	112
A_ameiva	2	27	01497	2.45E+00	2.14E+00	I	53	112	112
A_ameiva	2	27	01497	2.48E+00	2.41E+00	I	53	112	112
A_ameiva	2	27	01497	2.40E+00	NA	I	53	112	112
A_ameiva	1	19.6	01497	NA	NA	I	53	112	112
A_ameiva	1	19.6	01497	9.75E-01	NA	I	53	112	112
A_ameiva	1	19.6	01497	8.58E-01	4.46E+00	I	53	112	112
A_ameiva	1	19.6	01497	9.04E-01	6.73E+00	I	53	112	112
A_ameiva	1	19.6	01497	9.52E-01	9.67E+00	I	53	112	112
A_ameiva	1	19.6	01497	1.00E+00	5.02E-01	I	53	112	112
A_ameiva	1	19.6	01497	8.97E-01	3.05E+00	I	53	112	112
A_ameiva	1	19.6	01497	1.09E+00	7.14E+00	I	53	112	112
A_ameiva	1	19.6	01497	1.35E+00	4.23E+00	I	53	112	112
A_ameiva	1	19.6	01497	1.35E+00	5.02E-01	I	53	112	112
A_ameiva	1	19.6	01497	1.34E+00	8.63E+00	I	53	112	112
A_ameiva	1	19.6	01497	1.39E+00	6.54E+00	I	53	112	112
A_ameiva	1	19.6	01497	1.32E+00	5.21E+00	I	53	112	112
A_ameiva	1	19.6	01497	1.33E+00	2.92E+00	I	53	112	112
A_ameiva	1	19.6	01497	1.30E+00	6.52E+00	I	53	112	112
A_ameiva	1	19.6	01497	1.06E+00	5.46E+00	I	53	112	112
A_ameiva	1	19.6	01497	1.19E+00	5.68E+00	I	53	112	112
A_ameiva	1	19.6	01497	1.50E+00	6.13E+00	I	53	112	112
A_ameiva	1	19.6	01497	1.40E+00	4.00E+00	I	53	112	112
A_ameiva	1	19.6	01497	1.28E+00	1.81E+00	I	53	112	112
A_ameiva	1	19.6	01497	1.38E+00	6.13E+00	I	53	112	112
A_ameiva	1	19.6	01497	1.48E+00	6.30E+00	I	53	112	112
A_ameiva	1	19.6	01497	1.18E+00	8.07E+00	I	53	112	112
A_ameiva	1	19.6	01497	8.25E-01	9.17E+00	I	53	112	112
A_ameiva	1	19.6	01497	8.73E-01	3.98E+00	I	53	112	112
A_ameiva	1	19.6	01497	6.56E-01	NA	I	53	112	112
A_ameiva	2	19.6	01497	NA	NA	I	53	112	112
A_ameiva	2	19.6	01497	1.56E+00	NA	I	53	112	112
A_ameiva	2	19.6	01497	1.92E+00	3.24E+00	I	53	112	112
A_ameiva	2	19.6	01497	1.58E+00	1.04E+01	I	53	112	112
A_ameiva	2	19.6	01497	1.16E+00	9.56E+00	I	53	112	112
A_ameiva	2	19.6	01497	1.65E+00	7.41E+00	I	53	112	112
A_ameiva	2	19.6	01497	1.77E+00	7.43E+00	I	53	112	112
A_ameiva	2	19.6	01497	1.82E+00	4.81E+00	I	53	112	112
A_ameiva	2	19.6	01497	1.96E+00	2.56E+00	I	53	112	112
A_ameiva	2	19.6	01497	1.70E+00	6.43E+00	I	53	112	112
A_ameiva	2	19.6	01497	1.58E+00	3.31E+00	I	53	112	112
A_ameiva	2	19.6	01497	1.89E+00	5.34E+00	I	53	112	112
A_ameiva	2	19.6	01497	1.87E+00	6.65E+00	I	53	112	112
A_ameiva	2	19.6	01497	1.81E+00	2.12E+00	I	53	112	112
A_ameiva	2	19.6	01497	1.91E+00	4.85E+00	I	53	112	112
A_ameiva	2	19.6	01497	1.73E+00	6.68E+00	I	53	112	112
A_ameiva	2	19.6	01497	1.80E+00	3.58E+00	I	53	112	112
A_ameiva	1	33.4	1497	NA	NA	I	53	112	112
A_ameiva	1	33.4	1497	3.87E-02	NA	I	53	112	112
A_ameiva	1	33.4	1497	0.00E+00	2.81E+00	I	53	112	112
